 27-04-2024 21:53:57, GPU temperature     ,GPU usage (%)          ,Memory usage  (%)    ,Power percent  (%)   ,Power (W)     ,Fan speed (%)       ,Fan tachometer(RPM)   ,CPU temperature  (C )   ,CPU usage (%)        ,CPU power (W)         ,Framerate (FPS)         ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 22:03:00,50,70,4698.68,50,90,49,1206,100,100,17.419,41.1,20.8,22.8,23.2
 27-04-2024 22:03:01,50,72,4757.18,46,77.892,49,1206,99,100,17.2,42.2,20.8,22.8,23.2
 27-04-2024 22:03:02,50,73,4831.367,50,94.014,49,1206,100,100,17.894,42.5,20.8,22.8,23.2
 27-04-2024 22:03:03,50,68,4888.246,54,69.616,49,1210,100,99.995,17.814,42.7,20.8,22.8,23.2
 27-04-2024 22:03:04,50,68,4934,52,72.751,49,1217,100,100,17.921,43.9,20.8,22.8,23.2
 27-04-2024 22:03:05,50,74,4987.141,37,89.151,49,1225,100,100,17.619,43.4,20.8,22.8,23.2
 27-04-2024 22:03:06,50,74,5007.648,51,76.543,49,1225,100,100,17.383,44.2,20.8,22.8,23.2
 27-04-2024 22:03:07,50,65,5031.719,45,80.115,49,1216,100,99.935,18.12,44.3,20.8,22.8,23.2
 27-04-2024 22:03:08,49,62,5109.344,26,79.496,49,1218,100,99.536,17.984,41.1,20.8,22.8,23.2
 27-04-2024 22:03:09,50,72,5175.586,42,83.22,48,1216,100,99.124,17.25,42.3,20.8,22.8,23.2
 27-04-2024 22:03:10,50,70,5229.195,46,92.702,48,1210,100,98.782,17.369,42.6,20.8,22.8,23.2
 27-04-2024 22:03:11,51,77,5299.195,57,76.642,48,1207,100,99.335,18.212,46.8,20.8,22.8,23.2
 27-04-2024 22:03:12,51,75,5377.508,50,93.25,48,1206,99,99.358,17.88,44,20.8,22.8,23.2
 27-04-2024 22:03:13,51,73,5411.867,59,91.496,48,1207,100,98.745,17.133,44,20.8,22.8,23.2
 27-04-2024 22:03:14,51,73,5476.305,55,68.56,50,1206,100,99.311,17.79,47.5,20.8,22.8,23.2
 27-04-2024 22:03:15,51,79,5550.117,57,97.405,50,1206,100,98.722,17.944,46.9,20.8,22.8,23.2
 27-04-2024 22:03:16,52,74,5599.492,60,99.657,50,1216,100,99.53,17.657,46.9,20.8,22.8,23.2
 27-04-2024 22:03:17,52,82,5681.316,59,95.856,50,1221,100,99.328,17.762,47.7,20.8,22.8,23.2
 27-04-2024 22:03:18,52,82,5746.781,44,41.986,50,1224,100,99.078,17.872,46.1,20.8,22.8,23.2
 27-04-2024 22:03:19,53,87,5820.422,59,63.544,51,1236,99,99.237,17.648,48.4,20.8,22.8,23.2
 27-04-2024 22:03:20,53,89,5879.547,58,104.352,51,1243,100,98.66,17.618,50.2,20.8,22.8,23.2
 27-04-2024 22:03:21,50,58,5880.023,27,36.346,51,1246,100,99.406,17.565,42.7,20.8,22.8,23.2
 27-04-2024 22:03:22,51,69,5876.305,49,90.962,51,1259,100,99.427,17.405,31.1,20.8,22.8,23.2
 27-04-2024 22:03:23,51,63,5879.18,46,69.612,51,1265,100,100,17.637,55,20.8,22.8,23.2
 27-04-2024 22:03:24,52,90,5824.094,65,103.925,50,1273,100,100,17.622,35.1,20.8,22.8,23.2
 27-04-2024 22:03:25,52,76,5839.656,61,89.321,50,1259,100,100,17.856,52.6,20.8,22.8,23.2
 27-04-2024 22:03:26,52,77,5859.781,61,76.617,50,1252,100,100,17.963,54.1,20.8,22.8,23.2
 27-04-2024 22:03:27,52,74,5837.656,51,94.951,50,1253,100,100,17.618,51.9,20.8,22.8,23.2
 27-04-2024 22:03:28,51,64,5845.375,44,66.246,50,1254,100,100,17.442,49.6,20.8,22.8,23.2
 27-04-2024 22:03:29,53,82,5861,59,98.389,50,1253,100,100,17.526,56.5,20.8,22.8,23.2
 27-04-2024 22:03:30,53,86,5857.379,61,101.021,50,1248,100,99.996,17.904,58.9,20.8,22.8,23.2
 27-04-2024 22:03:31,53,90,5851.004,59,82.34,50,1248,100,100,17.189,59,20.8,22.8,23.2
 27-04-2024 22:03:32,51,72,5835.793,25,35.836,50,1251,100,100,16.716,40.3,20.8,22.8,23.2
 27-04-2024 22:03:33,53,91,5838.262,70,48.192,50,1253,100,100,17.092,43.6,20.8,22.8,23.2
 27-04-2024 22:03:34,54,90,5837.199,68,101.478,52,1250,100,99.999,17.051,58,20.8,22.8,23.2
 27-04-2024 22:03:35,53,79,5827.824,56,93.027,52,1254,100,100,16.988,59,20.8,22.8,23.2
 27-04-2024 22:03:36,54,91,5827.824,64,101.345,52,1261,100,100,17.313,59.9,20.8,22.8,23.2
 27-04-2024 22:03:37,53,94,5827.824,70,93.024,52,1271,100,100,17.926,41.3,20.8,22.8,23.2
 27-04-2024 22:03:38,54,90,5827.824,71,106.682,52,1281,100,100,18.03,60,20.8,22.8,23.2
 27-04-2024 22:03:39,54,85,5827.824,65,103.825,51,1282,100,100,17.888,59.9,20.8,22.8,23.2
 27-04-2024 22:03:40,53,84,5831.074,59,100.207,51,1285,100,92.898,17.423,60,20.8,22.8,23.2
 27-04-2024 22:03:41,53,76,5831.074,57,95.68,51,1280,100,71.169,17.776,59.9,20.8,22.8,23.2
 27-04-2024 22:03:42,53,81,5831.074,63,88.59,51,1269,100,72.796,17.435,59.9,20.8,22.8,23.2
 27-04-2024 22:03:43,54,84,5831.074,60,92.524,51,1271,100,68.368,17.906,60,20.8,22.8,23.2
 27-04-2024 22:03:44,54,80,5831.074,62,95.289,53,1275,100,65.952,17.581,59.9,20.8,22.8,23.2
 27-04-2024 22:03:45,53,75,5831.949,57,92.697,53,1285,100,69.977,17.943,57.9,20.8,22.8,23.2
 27-04-2024 22:03:46,52,43,5832.637,59,92.385,53,1291,100,81.914,17.347,54.1,20.8,22.8,23.2
 27-04-2024 22:03:47,53,87,5838.199,61,97.479,53,1307,100,77.342,17.822,59.9,20.8,22.8,23.2
 27-04-2024 22:03:48,54,85,5838.199,61,95.008,53,1313,100,78.389,16.983,60,20.8,22.8,23.2
 27-04-2024 22:03:49,54,85,5838.199,60,98.119,53,1315,100,70.158,17.861,60,20.8,22.8,23.2
 27-04-2024 22:03:50,53,78,5838.199,57,98.652,53,1318,100,98.572,17.706,58.9,20.8,22.8,23.2
