 27-04-2024 23:48:26, GPU temperature     ,GPU usage           ,Memory usage        ,Power percent       ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,TOutside ( C),Texhaust ( C),Tinternal ( C)
 27-04-2024 23:49:00,72,84,3535.496,60,92.922,0,0,100,74.5,17.923,59.9,20.8,25.4,25.8
 27-04-2024 23:49:01,69,8,3535.496,58,106.356,0,0,100,66.079,17.784,47.2,20.8,25.4,25.8
 27-04-2024 23:49:02,71,68,3553.266,46,91.438,0,0,100,89.488,18.585,55.6,20.8,25.4,25.8
 27-04-2024 23:49:03,72,82,3604.52,54,64.962,0,0,100,97.56,18.553,47.5,20.8,25.4,25.8
 27-04-2024 23:49:04,73,87,3604.02,65,94.704,0,0,100,82.576,17.822,60,20.8,25.4,25.8
 27-04-2024 23:49:05,73,90,3602.77,66,77.819,0,0,99,92.219,18.674,49.1,20.8,25.4,25.8
 27-04-2024 23:49:06,73,93,3628.23,66,101.765,0,0,100,90.524,18.562,55.8,20.8,25.4,25.8
 27-04-2024 23:49:07,74,92,3628.23,69,102.593,0,0,100,86.736,18.181,57.2,20.8,25.4,25.8
 27-04-2024 23:49:08,74,84,3620.855,69,102.075,0,0,100,89.561,18.692,55.9,20.8,25.4,25.8
 27-04-2024 23:49:09,74,96,3618.293,71,94.326,0,0,100,88.434,18.204,56.1,20.8,25.4,25.8
 27-04-2024 23:49:10,73,75,3620.047,51,90.555,0,0,100,90.981,18.426,49.6,20.8,25.4,25.8
 27-04-2024 23:49:11,75,92,3639.824,62,93.462,0,0,100,92.685,18.333,52.9,20.8,25.4,25.8
 27-04-2024 23:49:12,73,70,3642.191,58,96.431,0,0,100,92.186,18.114,52.2,20.8,25.4,25.8
 27-04-2024 23:49:13,73,73,3632.785,60,100.651,0,0,100,94.342,18.474,39.8,20.8,25.4,25.8
 27-04-2024 23:49:14,74,86,3593.691,56,84.529,0,0,100,93.249,18.159,50.9,20.8,25.4,25.8
 27-04-2024 23:49:15,74,88,3556.375,64,101.303,0,0,100,97.422,18.58,41.1,20.8,25.4,25.8
 27-04-2024 23:49:16,75,89,3554.688,66,100.651,0,0,100,93.313,18.458,54.3,20.8,25.4,25.8
 27-04-2024 23:49:17,75,92,3537.813,67,104.649,0,0,100,92.698,18.094,53.9,20.8,25.4,25.8
 27-04-2024 23:49:18,77,92,3537.813,63,100.705,0,0,99,91.565,18.264,57.8,20.8,25.4,25.8
 27-04-2024 23:49:19,75,88,3537.813,67,93.188,0,0,100,92.275,19.095,58.3,20.8,25.4,25.8
 27-04-2024 23:49:20,75,78,3542.125,54,98.477,0,0,100,100,18.401,54.1,20.8,25.4,25.8
 27-04-2024 23:49:21,75,83,3535.059,59,95.049,0,0,100,100,18.272,54.7,20.8,25.4,25.8
 27-04-2024 23:49:22,75,78,3553.73,58,81.674,0,0,100,100,18.427,49.5,20.8,25.4,25.8
 27-04-2024 23:49:23,76,87,3533.941,69,84.73,0,0,100,99.782,18.387,54.8,20.8,25.4,25.8
 27-04-2024 23:49:24,76,100,3542.418,69,99.713,0,0,100,91.84,17.871,49.6,20.8,25.4,25.8
 27-04-2024 23:49:25,77,97,3545.57,65,93.737,0,0,100,100,17.796,47.1,20.8,25.4,25.8
 27-04-2024 23:49:26,77,96,3545.57,64,88.527,0,0,100,99.995,18.043,51.1,20.8,25.4,25.8
 27-04-2024 23:49:27,77,95,3545.57,64,97.336,0,0,100,100,18.377,49.9,20.8,25.4,25.8
 27-04-2024 23:49:28,77,93,3547.914,69,92.143,0,0,100,100,18.193,50,20.8,25.4,25.8
 27-04-2024 23:49:29,77,82,3566.852,68,94.882,0,0,100,100,17.762,47.7,20.8,25.4,25.8
 27-04-2024 23:49:30,78,93,3557.477,65,95.249,0,0,100,99.997,18.157,50.6,20.8,25.4,25.8
 27-04-2024 23:49:31,76,75,3555.039,39,70.038,0,0,100,100,17.713,38.8,20.8,25.4,25.8
 27-04-2024 23:49:32,78,99,3557.289,61,60.263,0,0,100,100,18.182,44.2,20.8,25.4,25.8
