 24-04-2024 21:20:00, GPU temperature     ,GPU temperature 2   ,GPU usage           ,Power               ,Fan speed           ,Fan tachometer      ,CPU temperature     ,CPU usage           ,CPU power           ,Framerate           ,T outside (C ),T Exhaust (C ),T Internal (C )
 24-04-2024 21:20:00,48,57,79,116,48,2314,62,29.348,45.262,59.9,22.6,29,26.1
 24-04-2024 21:20:01,47,60,80,121,49,2323,62,30.961,46.612,59.9,22.6,29,26.1
 24-04-2024 21:20:02,47,59,79,120,49,2341,61,30.092,45.494,59.9,22.6,29,26.1
 24-04-2024 21:20:03,48,56,79,112,49,2345,64,28.849,44.99,55.8,22.6,29,26.1
 24-04-2024 21:20:04,48,56,80,106,49,2346,65,30.508,45.815,59.9,22.6,29,26.1
 24-04-2024 21:20:05,47,57,78,110,49,2346,62,29.049,40.459,59.9,22.6,29,26.1
 24-04-2024 21:20:06,47,55,67,105,48,2334,63,29.652,41.965,59.9,22.6,29,26.1
 24-04-2024 21:20:07,47,54,60,103,48,2324,64,29.654,39.854,59.9,22.6,29,26.1
 24-04-2024 21:20:08,48,58,67,117,48,2322,61,29.04,41.288,58.9,22.6,29,26.1
 24-04-2024 21:20:09,47,57,69,108,48,2319,61,28.65,39.87,59.9,22.6,29,26.1
 24-04-2024 21:20:10,48,57,68,112,48,2313,61,28.528,40.47,59.9,22.6,29,26.1
 24-04-2024 21:20:11,48,58,64,115,49,2323,63,29.998,39.242,59.9,22.6,29,26.1
 24-04-2024 21:20:12,47,59,58,114,49,2339,63,29.52,41.497,59.9,22.6,29,26.1
 24-04-2024 21:20:13,48,56,62,108,49,2345,61,28.776,39.059,59.9,22.6,29,26.1
 24-04-2024 21:20:14,48,57,79,110,49,2345,63,27.99,44.609,59.9,22.6,29,26.1
 24-04-2024 21:20:15,48,59,77,116,49,2345,66,29.459,45.705,59.9,22.6,29,26.1
 24-04-2024 21:20:16,48,60,61,118,49,2346,65,30.397,47.356,59.9,22.6,29,26.1
 24-04-2024 21:20:17,48,59,58,121,49,2345,64,30.598,44.645,58.9,22.6,29,26.1
 24-04-2024 21:20:18,48,58,73,116,49,2345,65,29.608,44.785,59.9,22.6,29,26.1
 24-04-2024 21:20:19,48,60,88,122,49,2346,61,31.351,45.885,59.9,22.6,29,26.1
 24-04-2024 21:20:20,48,57,82,115,49,2343,63,29.653,49.549,59.9,22.6,29,26.1
 24-04-2024 21:20:21,48,57,80,118,49,2345,60,31.467,45.901,59.8,22.6,29,26.1
 24-04-2024 21:20:22,48,59,74,113,49,2343,65,31.345,47.077,59.9,22.6,29,26.1
 24-04-2024 21:20:23,48,58,63,112,49,2344,66,32.389,48.236,58.9,22.6,29,26.1
 24-04-2024 21:20:24,47,57,56,103,49,2347,65,36.961,50.902,58.9,22.6,29,26.1
 24-04-2024 21:20:25,48,58,53,116,49,2347,65,31.024,44.416,58.8,22.6,29,26.1
 24-04-2024 21:20:26,47,59,68,117,49,2349,63,30.93,47.601,58.9,22.6,29,26.1
 24-04-2024 21:20:27,47,56,81,104,49,2347,66,32.802,48.565,59.9,22.6,29,26.1
 24-04-2024 21:20:28,47,58,73,110,49,2348,62,32.761,47.857,59.9,22.6,29,26.1
 24-04-2024 21:20:29,48,55,68,100,49,2349,63,30.193,43.338,59.9,22.6,29,26.1
 24-04-2024 21:20:30,47,56,70,97,49,2351,61,30.506,41.409,59.9,22.6,29,26.1
 24-04-2024 21:20:31,47,56,73,105,48,2336,63,30.17,42.561,59.9,22.6,29,26.1
 24-04-2024 21:20:32,48,56,66,98,48,2321,65,31.037,47.472,59.9,22.6,29,26.1
 24-04-2024 21:20:33,47,57,75,101,48,2320,62,29.855,44.088,59.9,22.6,29,26.1
